S.no.,Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
1,ANDHRA PRADESH,Anantapur,89200.23,46136.12,1013.97,50415.31,186765.62,9338.31,177427.31,142953.85,14884.94,157838.79,21623.75,59410.09,88.96
2,ANDHRA PRADESH,Chittoor,115718.55,32389.6,1204.19,38028.6,187340.94,9367.06,177973.88,95256.5,9597.29,104853.79,13528.83,80858.36,58.92
3,ANDHRA PRADESH,East Godavari,104140.05,95383.56,3714.55,50847.53,254085.69,12704.33,241381.36,41688.32,9418.15,51106.47,4226.85,193656.03,21.17
4,ANDHRA PRADESH,Guntur,52942.86,57011.9,2547.96,18800.39,131303.1,6565.15,124737.95,39174.72,8942.35,48117.07,14159.1,79051.91,38.57
5,ANDHRA PRADESH,Kadapa,93311.68,15869.52,2048.53,11177.61,122407.34,6120.4,116286.94,74888.06,4974.42,79862.47,6110.25,56568.63,68.68
6,ANDHRA PRADESH,Krishna,52891.68,70806.39,21641.6,17375.91,162715.57,8135.8,154579.78,47223.03,9772.8,56995.83,7402.78,98790.07,36.87
7,ANDHRA PRADESH,Kurnool,90024.09,43892.8,1203.46,26774.23,161894.57,8094.75,153799.81,53291.48,11008.68,64300.17,16377.9,94278.99,41.81
8,ANDHRA PRADESH,Nellore,128089.98,46637.76,5.16,93668.83,268401.73,13420.14,254981.59,90301.92,6408.13,96710.05,11024.36,159531.34,37.93
9,ANDHRA PRADESH,Prakasam,39372.56,26669.85,56344.85,36593,158980.26,7949.05,151031.21,54372.39,10257.26,64629.64,17557.06,94941.54,42.79
10,ANDHRA PRADESH,Srikakulam,34847.68,35719.34,17837.37,19681.53,108085.91,5404.34,102681.56,40762.37,8747.99,49510.36,17007.28,63919.93,48.22
11,ANDHRA PRADESH,Visakhapatnam,61906.83,10809.63,6823.31,2690.68,82230.45,4538.54,77691.9,12608.08,6496.48,19104.57,7980.54,59560.86,24.59
12,ANDHRA PRADESH,Vizianagaram,59226.39,21945.67,6795.38,17486.23,105453.67,5272.77,100180.9,20595.54,511.42,21106.97,4922,77587.51,21.07
13,ANDHRA PRADESH,West Godavari,74662.56,58478.66,48.11,58931.01,192120.35,9606.03,182514.32,71924.15,3642.89,75567.04,6028.8,113241.04,41.4
